OID_	Longitude	Latitude	Type
1	-1.64539282	4.972347746	sample
2	-1.646284397	4.975005934	sample
3	-1.644761277	4.972944877	sample
4	-1.647514089	4.972900336	sample
5	-1.64643378	4.972419683	sample
6	-1.644700223	4.972382452	sample
7	-1.644911813	4.974666339	sample
8	-1.646352886	4.974794106	sample
9	-1.644905043	4.974279312	sample
10	-1.645001377	4.972992873	sample
11	-1.645879129	4.974170869	sample
12	-1.645775519	4.973562978	sample
13	-1.647540309	4.971993057	sample
14	-1.646286763	4.972708993	sample
15	-1.646157436	4.971590367	sample
16	-1.647359776	4.971915711	sample
17	-1.646015574	4.972292284	sample
18	-1.646040278	4.974836696	sample
19	-1.646067394	4.971305635	sample
20	-1.647755652	4.972028911	sample
21	-1.646186061	4.971525417	sample
22	-1.646364531	4.97216507	sample
23	-1.645414814	4.972057774	sample
24	-1.645187674	4.972269106	sample
25	-1.646009869	4.971706139	sample
26	-1.645911865	4.972951079	sample
27	-1.645472491	4.972281526	sample
28	-1.645518647	4.975363956	sample
29	-1.64592964	4.974546628	sample
30	-1.646160775	4.973883554	sample
31	-1.645241843	4.971596754	sample
32	-1.646522433	4.973020491	sample
33	-1.647541262	4.971213681	sample
34	-1.644551894	4.971963554	sample
35	-1.644799533	4.971750246	sample
36	-1.646037754	4.975394368	sample
37	-1.647704539	4.972099252	sample
38	-1.644793756	4.973331991	sample
39	-1.646348937	4.974323831	sample
40	-1.647626323	4.972890542	sample
41	-1.645908577	4.971806093	sample
42	-1.646251223	4.973760033	sample
43	-1.645166305	4.975022006	sample
44	-1.6464206	4.972431889	sample
45	-1.647704967	4.971402909	sample
46	-1.64531173	4.974717817	sample
47	-1.645129264	4.97358443	sample
48	-1.645586119	4.973585424	sample
49	-1.646334857	4.975191462	sample
50	-1.645516595	4.973539673	sample
51	-1.645945939	4.972738386	sample
52	-1.644616228	4.972463329	sample
53	-1.646039844	4.973598824	sample
54	-1.646109038	4.971921216	sample
55	-1.646289412	4.974956871	sample
56	-1.645245357	4.974330653	sample
57	-1.646020406	4.972301745	sample
58	-1.64525559	4.973432288	sample
59	-1.645369227	4.972324268	sample
60	-1.646309743	4.973053905	sample
61	-1.645447512	4.972398337	sample
62	-1.645332487	4.973347939	sample
63	-1.646008939	4.975715939	sample
64	-1.64640822	4.971566515	sample
65	-1.646061056	4.973536739	sample
66	-1.646645707	4.971662815	sample
67	-1.646366008	4.971582417	sample
68	-1.645980466	4.97354347	sample
69	-1.64565267	4.972282228	sample
70	-1.645580912	4.971501278	sample
71	-1.644285633	4.973092699	sample
