OID_	Longitude	Latitude	Type
1	1.075903411	6.043322514	sample
2	1.074981882	6.040525649	sample
3	1.07639179	6.043480907	sample
4	1.080357205	6.047515123	sample
5	1.075156919	6.0406185	sample
6	1.08235226	6.048243102	sample
7	1.077371464	6.043095117	sample
8	1.075852022	6.044002067	sample
9	1.072727969	6.041302716	sample
10	1.081096267	6.047977526	sample
11	1.081849857	6.048383624	sample
12	1.076290222	6.042249691	sample
13	1.07225947	6.037514019	sample
14	1.074123732	6.041029927	sample
15	1.077288277	6.043138944	sample
16	1.078526877	6.044564948	sample
17	1.082429605	6.04917718	sample
18	1.077499864	6.04318171	sample
19	1.075746623	6.043492783	sample
20	1.076695912	6.042303794	sample
21	1.081666099	6.048209374	sample
22	1.085244269	6.05069117	sample
23	1.076006263	6.04378833	sample
24	1.072981997	6.038447183	sample
25	1.07286817	6.03900283	sample
26	1.076302068	6.041960174	sample
27	1.072846026	6.040172706	sample
28	1.08048435	6.046622533	sample
29	1.072501313	6.039166981	backup
30	1.072240592	6.039600187	backup
31	1.079081615	6.04632386	backup
32	1.074816503	6.041011781	backup
33	1.076283686	6.042774795	backup
34	1.081068704	6.048351614	backup
35	1.076289568	6.044359948	backup
36	1.072421971	6.041424043	backup
37	1.082971503	6.049693051	backup
38	1.085881323	6.051721204	backup
39	1.080769197	6.048003844	backup
40	1.073060769	6.039978103	backup
41	1.074053354	6.039351096	backup
42	1.076449379	6.043943464	backup
43	1.071806097	6.03754109	backup
44	1.078221776	6.045987099	backup
45	1.077827631	6.045266793	backup
46	1.07288436	6.041174301	backup
47	1.073181547	6.039246275	backup
48	1.072443567	6.040460783	backup
49	1.07379222	6.039302419	backup
50	1.075314215	6.040940444	backup
51	1.071689915	6.038262477	backup
52	1.077104063	6.044273907	backup
53	1.076659684	6.043977578	backup
54	1.073416378	6.041115835	backup
55	1.072211618	6.037374651	backup
56	1.071442553	6.036562912	backup
