OID_	Longitude	Latitude	Type
1	1.037928409	5.995695263	sample
2	1.038938749	5.997008675	sample
3	1.034737619	5.991957174	sample
4	1.039720444	5.999004803	sample
5	1.043619281	6.003906064	sample
6	1.037440614	5.994617806	sample
7	1.043885979	6.002347276	sample
8	1.040438289	5.997996924	sample
9	1.040644225	5.997087613	sample
10	1.041172249	5.998792075	sample
11	1.039303648	5.99623788	sample
12	1.039720055	5.998867113	sample
13	1.042420647	6.000901626	sample
14	1.042453113	6.001202235	sample
15	1.043765921	6.002571972	sample
16	1.037438561	5.995705147	sample
17	1.042344084	6.002275036	sample
18	1.040518069	5.9990615	sample
19	1.042170597	6.0015663	sample
20	1.03852659	5.994879863	sample
21	1.036482183	5.991869411	backup
22	1.044360917	6.00493191	backup
23	1.042112897	6.001813066	backup
24	1.040595133	5.999729496	backup
25	1.036001564	5.990874524	backup
26	1.036116472	5.991851994	backup
27	1.041246967	5.998578999	backup
28	1.045491779	6.005525948	backup
29	1.03685609	5.991623	backup
30	1.041065376	5.999553083	backup
31	1.041094319	5.998972397	backup
32	1.03766488	5.996100916	backup
33	1.036283959	5.991229761	backup
34	1.036082293	5.991968865	backup
35	1.045013295	6.004806685	backup
36	1.040136864	5.999354615	backup
37	1.0445169	6.004778013	backup
38	1.044959233	6.005823447	backup
39	1.04502657	6.006229031	backup
40	1.045278229	6.004898414	backup
