OID_	Longitude	Latitude	Type
1	-2.108439185	4.781800773	sample
2	-2.105937139	4.780153562	sample
3	-2.107908929	4.781132194	sample
4	-2.108436088	4.782287023	sample
5	-2.10724513	4.78109076	sample
6	-2.107624232	4.780827114	sample
7	-2.108886429	4.785438163	sample
8	-2.108512733	4.781907068	sample
9	-2.110516952	4.783449497	sample
10	-2.110177772	4.78400549	sample
11	-2.10629173	4.780310354	sample
12	-2.108546298	4.782176566	sample
13	-2.108662967	4.785598245	sample
14	-2.106589533	4.780146013	sample
15	-2.10885442	4.785676947	sample
16	-2.110582516	4.784870753	sample
17	-2.106688491	4.781503904	sample
18	-2.108196411	4.781558468	sample
19	-2.109118548	4.78480116	sample
20	-2.108204226	4.782933066	sample
21	-2.10799185	4.782622583	backup
22	-2.106881542	4.780809785	backup
23	-2.106527951	4.779487203	backup
24	-2.10904326	4.78500065	backup
25	-2.107077132	4.782317862	backup
26	-2.110588361	4.783823754	backup
27	-2.107076053	4.780877734	backup
28	-2.105794568	4.780251331	backup
29	-2.110724222	4.784045638	backup
30	-2.109774937	4.783593371	backup
31	-2.108835523	4.783589319	backup
32	-2.10794948	4.781305646	backup
33	-2.108210211	4.782836546	backup
34	-2.106598468	4.779575495	backup
35	-2.109789389	4.784768189	backup
36	-2.109595837	4.784898635	backup
37	-2.108589804	4.785261458	backup
38	-2.107523785	4.780813159	backup
39	-2.106204254	4.780225627	backup
40	-2.107371473	4.782199587	backup
