OID_	Longitude	Latitude	Type
1	0.354360364	5.786966873	sample
2	0.354802157	5.788654687	sample
3	0.356079886	5.787538016	sample
4	0.359819187	5.787098902	sample
5	0.357812896	5.787381874	sample
6	0.355970119	5.786834822	sample
7	0.353467452	5.787361282	sample
8	0.353588401	5.78802847	sample
9	0.352675391	5.788188834	sample
10	0.359591284	5.787153976	sample
11	0.35655435	5.787449156	sample
12	0.357571403	5.787621628	sample
13	0.356222888	5.787506166	sample
14	0.358470359	5.78786311	sample
15	0.356570813	5.787126769	sample
16	0.354137835	5.788202029	sample
17	0.35871041	5.787653523	sample
18	0.353943621	5.787027728	sample
19	0.357352119	5.787398143	sample
20	0.358985507	5.788001013	sample
21	0.356451146	5.786791206	sample
22	0.358441143	5.787324628	sample
23	0.356380227	5.787405172	sample
24	0.355584131	5.788596497	sample
25	0.358029608	5.786789763	sample
26	0.355828164	5.788109986	sample
27	0.3538288	5.787111685	sample
28	0.358100061	5.786430571	sample
29	0.355591892	5.788262523	sample
30	0.355292844	5.788113812	sample
31	0.356710188	5.786959469	sample
32	0.354032649	5.788676312	sample
33	0.358183918	5.787141123	sample
34	0.355412609	5.787732263	sample
35	0.354312506	5.78697315	sample
36	0.357378156	5.78681067	sample
37	0.355761504	5.787378956	sample
38	0.357034436	5.787759545	sample
39	0.355546498	5.787478738	sample
40	0.353800671	5.787653734	sample
41	0.359831925	5.787694115	sample
42	0.354979156	5.788338655	sample
43	0.357008421	5.786925762	sample
44	0.352609289	5.787762636	sample
45	0.358144796	5.78703911	sample
46	0.358461217	5.786976479	sample
47	0.356986132	5.786759114	sample
48	0.360408632	5.787417392	sample
49	0.359712962	5.787963697	sample
50	0.354674983	5.786952395	sample
51	0.353808737	5.788326706	sample
52	0.359958065	5.787830601	sample
53	0.360063779	5.787836787	sample
54	0.356037797	5.787310698	sample
55	0.36047658	5.788040161	sample
56	0.35559259	5.788301469	sample
57	0.35602383	5.786975434	sample
58	0.354614298	5.788659359	sample
59	0.35417991	5.787739718	sample
60	0.354737206	5.787207888	sample
61	0.35707416	5.787202463	sample
62	0.356445982	5.786763618	sample
63	0.360999772	5.787891302	sample
64	0.354175249	5.788748891	sample
65	0.354194451	5.788309567	sample
66	0.359874586	5.787790442	sample
67	0.35835292	5.787757507	sample
68	0.359305325	5.78756658	sample
69	0.352996499	5.788039381	sample
70	0.357029278	5.787303144	sample
71	0.360426322	5.787111742	sample
72	0.357405392	5.787858408	sample
73	0.352656129	5.787730424	sample
74	0.353360092	5.787764525	sample
75	0.356055189	5.787508304	sample
76	0.355468446	5.787146124	sample
77	0.35356053	5.788116805	sample
78	0.35837153	5.787647494	sample
79	0.35559654	5.788186229	sample
80	0.352629518	5.78779547	sample
81	0.35365939	5.788365766	sample
82	0.354329739	5.788195102	sample
83	0.357100533	5.788152742	sample
84	0.35908445	5.788033017	sample
85	0.3529013	5.788236036	sample
86	0.359231781	5.78813974	sample
87	0.352765604	5.788438238	sample
88	0.357862597	5.786621908	backup
89	0.354986685	5.787659233	backup
90	0.357359439	5.786411869	backup
91	0.354052775	5.788754105	backup
92	0.355173434	5.787185935	backup
93	0.354929262	5.787929659	backup
94	0.355816837	5.788272076	backup
95	0.359437211	5.787087516	backup
96	0.35716417	5.786877097	backup
97	0.353530613	5.787637051	backup
98	0.359335941	5.787586338	backup
99	0.358157295	5.787087123	backup
100	0.353739952	5.788539921	backup
101	0.360378163	5.787741245	backup
102	0.354564743	5.78714433	backup
103	0.359233009	5.787653966	backup
104	0.35814075	5.787256672	backup
105	0.356747224	5.786831262	backup
106	0.359100758	5.787370347	backup
107	0.357626355	5.788216821	backup
108	0.358489512	5.787183729	backup
109	0.360178851	5.787909409	backup
110	0.357369051	5.787766096	backup
111	0.356801174	5.786792507	backup
112	0.353308261	5.788483784	backup
113	0.354223261	5.78767596	backup
114	0.356398712	5.787106467	backup
115	0.353520728	5.788489782	backup
116	0.358414443	5.786660327	backup
117	0.355432891	5.787836142	backup
118	0.354262221	5.788302735	backup
119	0.353934852	5.788579155	backup
120	0.35408586	5.787572329	backup
121	0.352957975	5.788824164	backup
122	0.356177278	5.78766794	backup
123	0.35714335	5.78800655	backup
124	0.353903114	5.787129631	backup
125	0.358065334	5.786695173	backup
126	0.355058443	5.787874998	backup
127	0.356011163	5.786829375	backup
128	0.355076094	5.788370457	backup
129	0.353858203	5.787208266	backup
130	0.360265419	5.787806678	backup
131	0.354040245	5.787337499	backup
132	0.355196548	5.787789164	backup
133	0.354174042	5.787045519	backup
134	0.352964954	5.787378213	backup
135	0.360289192	5.787215812	backup
136	0.358335285	5.787406818	backup
137	0.358644755	5.787867993	backup
138	0.356966307	5.787732913	backup
139	0.357027798	5.78735588	backup
140	0.359573031	5.787870422	backup
141	0.354657508	5.788274116	backup
142	0.359232691	5.787568431	backup
143	0.355221249	5.787128039	backup
144	0.352645972	5.788648028	backup
145	0.356166345	5.787504531	backup
146	0.35254525	5.788541277	backup
147	0.353302153	5.788162607	backup
148	0.358273657	5.787196139	backup
149	0.355453218	5.787280044	backup
150	0.358304442	5.787866999	backup
151	0.353550628	5.788410593	backup
152	0.357086036	5.786597418	backup
153	0.358717448	5.787249426	backup
154	0.353857063	5.788071233	backup
155	0.355379692	5.788004606	backup
156	0.354273984	5.787149531	backup
157	0.355086246	5.786877689	backup
158	0.353723519	5.787491344	backup
159	0.35559973	5.78792477	backup
160	0.356938748	5.78724271	backup
161	0.355858455	5.787749783	backup
162	0.353490592	5.788579861	backup
163	0.358214931	5.786470989	backup
164	0.353870196	5.787088385	backup
165	0.352794578	5.787642265	backup
166	0.357976321	5.786694907	backup
167	0.360053612	5.787355015	backup
168	0.35530688	5.787300928	backup
169	0.357105728	5.78776116	backup
170	0.355952869	5.788048205	backup
171	0.357411431	5.786677102	backup
172	0.355178416	5.787336431	backup
173	0.35566887	5.787775678	backup
174	0.360589473	5.787796627	backup
