OID_	Longitude	Latitude	Type
1	-1.492706277	5.050452154	sample
2	-1.48965582	5.052077163	sample
3	-1.488054139	5.052232211	sample
4	-1.49224507	5.04874938	sample
5	-1.489336482	5.051473257	sample
6	-1.488806561	5.050120414	sample
7	-1.488101279	5.052838452	sample
8	-1.489631479	5.051883373	sample
9	-1.488544826	5.051161243	sample
10	-1.488889566	5.050457277	sample
11	-1.492320963	5.049789687	sample
12	-1.488718627	5.049868865	sample
13	-1.492493148	5.049420183	sample
14	-1.491390875	5.049762536	sample
15	-1.494469726	5.048358535	sample
16	-1.490060216	5.050053725	sample
17	-1.488520391	5.051810184	sample
18	-1.48931029	5.052303152	sample
19	-1.488686141	5.05297773	sample
20	-1.494471268	5.049373565	sample
21	-1.488982613	5.050122314	sample
22	-1.492893128	5.049994624	sample
23	-1.488850477	5.050817161	sample
24	-1.488081032	5.050469215	sample
25	-1.491549227	5.050301634	sample
26	-1.488862929	5.051112235	sample
27	-1.488467011	5.054034463	sample
28	-1.491138332	5.050601192	sample
29	-1.489865311	5.049436966	sample
30	-1.493632717	5.049041738	sample
31	-1.491472992	5.049884194	sample
32	-1.493498859	5.050078547	sample
33	-1.487933916	5.052362522	sample
34	-1.488418704	5.052561288	sample
35	-1.489840394	5.051153537	sample
36	-1.489102263	5.054088896	sample
37	-1.489260502	5.05149084	sample
38	-1.488143247	5.051473718	sample
39	-1.491885172	5.049665104	sample
40	-1.49214482	5.049558845	sample
41	-1.489080537	5.050245969	backup
42	-1.490029494	5.049146908	backup
43	-1.488397232	5.052908171	backup
44	-1.488595344	5.052436604	backup
45	-1.492040322	5.048845483	backup
46	-1.491674607	5.049710612	backup
47	-1.487604438	5.053407479	backup
48	-1.488590624	5.052946451	backup
49	-1.490810989	5.050637194	backup
50	-1.489773622	5.049449426	backup
51	-1.488625	5.051452919	backup
52	-1.490675012	5.049991494	backup
53	-1.492670272	5.048702036	backup
54	-1.49219908	5.048962399	backup
55	-1.489251711	5.051915411	backup
56	-1.489275108	5.051876784	backup
57	-1.49202746	5.048971993	backup
58	-1.491689461	5.050218339	backup
59	-1.492978801	5.049992343	backup
60	-1.492069659	5.049613353	backup
61	-1.489527983	5.050183935	backup
62	-1.491809437	5.049339864	backup
63	-1.492745415	5.050220584	backup
64	-1.492408683	5.048908537	backup
65	-1.49367156	5.048562549	backup
66	-1.49433441	5.049290245	backup
67	-1.488146662	5.052574245	backup
68	-1.490546934	5.050803191	backup
69	-1.492236848	5.050125059	backup
70	-1.49351453	5.049068252	backup
71	-1.489870121	5.049868779	backup
72	-1.488675899	5.052216814	backup
73	-1.493874827	5.048815521	backup
74	-1.489146344	5.049461543	backup
75	-1.494161268	5.048672866	backup
76	-1.488828513	5.053028736	backup
77	-1.488296359	5.052094328	backup
78	-1.488315129	5.051692578	backup
79	-1.488852332	5.050690191	backup
80	-1.489459451	5.053485071	backup
