OID_	Longitude	Latitude	Type
1	-0.496985295	5.384393643	sample
2	-0.490742372	5.3873164	sample
3	-0.497136183	5.382669488	sample
4	-0.488465092	5.39135902	sample
5	-0.494364307	5.385393763	sample
6	-0.496856747	5.382685168	sample
7	-0.49283466	5.385867296	sample
8	-0.491066307	5.387618818	sample
9	-0.497517051	5.382408764	sample
10	-0.48964848	5.387368882	sample
11	-0.49298724	5.38634961	sample
12	-0.489320309	5.390925465	sample
13	-0.488943766	5.391100016	sample
14	-0.499291778	5.383221636	sample
15	-0.48980461	5.389946017	sample
16	-0.489032232	5.391733377	sample
17	-0.489298138	5.390691271	sample
18	-0.493825759	5.384535932	sample
19	-0.491622859	5.386162044	sample
20	-0.489038542	5.39248782	sample
21	-0.497547935	5.384254641	sample
22	-0.493890824	5.385728359	sample
23	-0.497618853	5.383141323	sample
24	-0.491107127	5.388849738	sample
25	-0.490190762	5.387686368	sample
26	-0.495531835	5.383913191	sample
27	-0.490986694	5.388075259	sample
28	-0.489337686	5.386962045	sample
29	-0.496841937	5.384103269	sample
30	-0.491041617	5.387706967	sample
31	-0.490135099	5.388060967	sample
32	-0.491862914	5.385363057	sample
33	-0.490118915	5.389547768	sample
34	-0.489160582	5.391633473	sample
35	-0.494555039	5.385038685	sample
36	-0.492120866	5.385634884	sample
37	-0.490546104	5.387249087	backup
38	-0.48849882	5.392446262	backup
39	-0.490466501	5.389063515	backup
40	-0.491846224	5.385083892	backup
41	-0.489535648	5.391524501	backup
42	-0.490207761	5.386026778	backup
43	-0.498788535	5.382170839	backup
44	-0.487942174	5.391449294	backup
45	-0.492234251	5.386054655	backup
46	-0.495185178	5.38496128	backup
47	-0.498570569	5.382451565	backup
48	-0.498810811	5.383526136	backup
49	-0.489122412	5.390628798	backup
50	-0.49732378	5.383035987	backup
51	-0.490210258	5.390396713	backup
52	-0.490479904	5.391262281	backup
53	-0.494683436	5.384547809	backup
54	-0.495076763	5.384117705	backup
55	-0.498039211	5.383018799	backup
56	-0.498536516	5.383027626	backup
57	-0.499072455	5.38297037	backup
58	-0.494271619	5.384755343	backup
59	-0.491632849	5.389204101	backup
60	-0.489530652	5.387080518	backup
61	-0.494294955	5.384926095	backup
62	-0.491596913	5.38683452	backup
63	-0.490162446	5.389674888	backup
64	-0.490753939	5.385609703	backup
65	-0.490624945	5.390830124	backup
66	-0.495955339	5.383976307	backup
67	-0.490196802	5.387637736	backup
68	-0.497584906	5.384326037	backup
69	-0.491619679	5.38652724	backup
70	-0.498934863	5.38269008	backup
71	-0.495866625	5.385257265	backup
72	-0.489519095	5.392202145	backup
