OID_	Longitude	Latitude	Type
1	-1.629496251	5.007460579	sample
2	-1.631853216	5.006795173	sample
3	-1.63093842	5.007973004	sample
4	-1.631232334	5.006661269	sample
5	-1.629477567	5.007917758	sample
6	-1.629638615	5.010961435	sample
7	-1.628651552	5.011220516	sample
8	-1.630516322	5.007409474	sample
9	-1.630805574	5.008205431	sample
10	-1.629586706	5.010940048	sample
11	-1.631637364	5.007775979	sample
12	-1.628162708	5.009711176	sample
13	-1.629111804	5.008471719	sample
14	-1.629535827	5.01180519	sample
15	-1.631014105	5.007144714	sample
16	-1.629844184	5.007408636	sample
17	-1.63043663	5.007690401	sample
18	-1.629513695	5.007413522	sample
19	-1.630995844	5.006871356	sample
20	-1.628399544	5.010856404	sample
21	-1.630303772	5.006760753	sample
22	-1.631635141	5.007146373	sample
23	-1.631073489	5.006849493	sample
24	-1.629519003	5.008622457	sample
25	-1.629757644	5.007459099	sample
26	-1.629508404	5.00935934	sample
27	-1.630212365	5.008959487	sample
28	-1.629193039	5.010062631	sample
29	-1.630542505	5.007196704	sample
30	-1.629903226	5.011235263	sample
31	-1.631763675	5.007453987	sample
32	-1.628169122	5.010552801	sample
33	-1.628210853	5.009626347	sample
34	-1.628670169	5.011397777	sample
35	-1.629575736	5.00882894	sample
36	-1.630691623	5.008780724	sample
37	-1.629315541	5.008981242	backup
38	-1.629324071	5.009665751	backup
39	-1.630098715	5.009827058	backup
40	-1.631842554	5.007130954	backup
41	-1.629014338	5.01022186	backup
42	-1.631551987	5.007884189	backup
43	-1.630171492	5.008085614	backup
44	-1.628577107	5.01104755	backup
45	-1.628700926	5.009532096	backup
46	-1.630949223	5.006482648	backup
47	-1.629366671	5.008611183	backup
48	-1.630466585	5.006611775	backup
49	-1.631936898	5.007019741	backup
50	-1.629538898	5.011417608	backup
51	-1.62824902	5.011142319	backup
52	-1.63147446	5.006816973	backup
53	-1.630009906	5.00696054	backup
54	-1.629787787	5.009786144	backup
55	-1.629426169	5.008414146	backup
56	-1.630144423	5.008887684	backup
57	-1.631011449	5.00692814	backup
58	-1.630203682	5.007270225	backup
59	-1.628977418	5.011317558	backup
60	-1.630921421	5.007422576	backup
61	-1.628628402	5.010674861	backup
62	-1.630496107	5.008971869	backup
63	-1.630002301	5.009699502	backup
64	-1.6313563	5.007581485	backup
65	-1.628891967	5.008345642	backup
66	-1.628976844	5.010447295	backup
67	-1.628949023	5.00934998	backup
68	-1.630355212	5.008370648	backup
69	-1.629403369	5.010454851	backup
70	-1.630735403	5.007863447	backup
71	-1.629630952	5.011241347	backup
72	-1.628387174	5.011003046	backup
