OID_	Longitude	Latitude	Type
1	-0.103389764	5.576986285	sample
2	-0.100883805	5.579164016	sample
3	-0.10305992	5.57703447	sample
4	-0.102524428	5.577701231	sample
5	-0.097462962	5.580498738	sample
6	-0.099026212	5.580435427	sample
7	-0.10163862	5.579283735	sample
8	-0.096818928	5.580654627	sample
9	-0.102288098	5.576730763	sample
10	-0.104405017	5.576457843	sample
11	-0.102207132	5.577784017	sample
12	-0.100656566	5.578447496	sample
13	-0.104634011	5.575540945	sample
14	-0.103017036	5.576843773	sample
15	-0.101190479	5.578227654	sample
16	-0.098815027	5.579895088	sample
17	-0.104239335	5.57548973	sample
18	-0.103076443	5.577347604	sample
19	-0.098275197	5.581052456	sample
20	-0.10236072	5.577920279	sample
21	-0.103851296	5.575755364	sample
22	-0.099149344	5.579559508	sample
23	-0.102288757	5.576571196	sample
24	-0.102741358	5.576573399	sample
25	-0.097527277	5.581376474	sample
26	-0.101589788	5.576924999	sample
27	-0.104482418	5.57509882	backup
28	-0.102811882	5.577234482	backup
29	-0.10221237	5.576997889	backup
30	-0.101689164	5.57724371	backup
31	-0.100316723	5.579070071	backup
32	-0.102744338	5.575998267	backup
33	-0.098279401	5.579679821	backup
34	-0.099728538	5.580443624	backup
35	-0.101615911	5.57878586	backup
36	-0.097691315	5.579935571	backup
37	-0.101990275	5.577269843	backup
38	-0.10215791	5.578265178	backup
39	-0.097239167	5.581074196	backup
40	-0.100326531	5.579319759	backup
41	-0.10381693	5.576938834	backup
42	-0.101300983	5.577452759	backup
43	-0.10505309	5.576512753	backup
44	-0.097938975	5.581120506	backup
45	-0.103154075	5.57632882	backup
46	-0.099760089	5.580193885	backup
47	-0.104648146	5.574906996	backup
48	-0.103006772	5.577024978	backup
49	-0.097102356	5.581543892	backup
50	-0.098926	5.57998243	backup
51	-0.099187328	5.580892782	backup
52	-0.103051439	5.577537966	backup
