OID_	Longitude	Latitude	Type
1	-0.621601605	5.333539232	sample
2	-0.61843104	5.341908764	sample
3	-0.619627952	5.340101799	sample
4	-0.618838303	5.338211771	sample
5	-0.619049364	5.34190594	sample
6	-0.621812327	5.333499497	sample
7	-0.618208918	5.344151372	sample
8	-0.621058203	5.33570053	sample
9	-0.619541287	5.338573919	sample
10	-0.621330687	5.336421785	sample
11	-0.619181197	5.33818629	sample
12	-0.620570725	5.335592244	sample
13	-0.61961658	5.33788146	sample
14	-0.618704584	5.337856567	sample
15	-0.619635464	5.336877503	sample
16	-0.620490236	5.337728528	sample
17	-0.622366199	5.334117174	sample
18	-0.619733134	5.340960134	sample
19	-0.619998503	5.336593734	sample
20	-0.619067569	5.341616172	sample
21	-0.618159306	5.343018141	sample
22	-0.620051745	5.33920814	sample
23	-0.619990537	5.340446359	sample
24	-0.618231836	5.337960473	sample
25	-0.619694301	5.338259834	sample
26	-0.62209579	5.333878882	sample
27	-0.619292984	5.338863662	sample
28	-0.619856902	5.339275188	sample
29	-0.620471523	5.334612124	sample
30	-0.619901304	5.335561054	sample
31	-0.617766734	5.34334313	sample
32	-0.61997408	5.340747998	sample
33	-0.619253733	5.338163411	sample
34	-0.619198873	5.337817106	sample
35	-0.620897685	5.336590172	sample
36	-0.617423426	5.343021986	sample
37	-0.617900891	5.342514278	sample
38	-0.618673774	5.343624212	sample
39	-0.619105233	5.34107763	sample
40	-0.618995515	5.340577172	sample
41	-0.619793056	5.335321509	sample
42	-0.621394612	5.336105637	sample
43	-0.619202773	5.3379052	sample
44	-0.619505795	5.335676712	sample
45	-0.62080134	5.335258275	sample
46	-0.621203111	5.335787488	sample
47	-0.618182792	5.341856233	sample
48	-0.617981425	5.337948477	sample
49	-0.622225357	5.335066291	sample
50	-0.618560912	5.341950263	sample
51	-0.621339965	5.333284523	sample
52	-0.619171619	5.341802726	sample
53	-0.618357725	5.343855673	sample
54	-0.620556851	5.336870015	sample
55	-0.619449996	5.342069833	sample
56	-0.619713878	5.341249265	sample
57	-0.618443005	5.337973696	sample
58	-0.618651339	5.34179406	sample
59	-0.618217484	5.34328829	sample
60	-0.621768902	5.333645583	sample
61	-0.617569686	5.342615348	sample
62	-0.619686032	5.339429717	backup
63	-0.618483964	5.339021706	backup
64	-0.61889748	5.343307688	backup
65	-0.620309325	5.335723106	backup
66	-0.62030688	5.335223065	backup
67	-0.620241492	5.335974401	backup
68	-0.61889059	5.339432699	backup
69	-0.618008959	5.341724433	backup
70	-0.619530604	5.339833959	backup
71	-0.618373335	5.342353586	backup
72	-0.619960394	5.335304405	backup
73	-0.618569268	5.340262646	backup
74	-0.619310295	5.33962774	backup
75	-0.620166214	5.338956337	backup
76	-0.617479403	5.342920283	backup
77	-0.619211833	5.342967041	backup
78	-0.618087021	5.341808895	backup
79	-0.6216933	5.334842039	backup
80	-0.618933224	5.342075662	backup
81	-0.618347607	5.343259027	backup
82	-0.618776688	5.341048261	backup
83	-0.621859649	5.334571766	backup
84	-0.620867337	5.334311297	backup
85	-0.617236592	5.343119331	backup
86	-0.617971721	5.342733131	backup
87	-0.619973645	5.341436233	backup
88	-0.618775444	5.342546143	backup
89	-0.619900653	5.336104141	backup
90	-0.620496952	5.337636915	backup
91	-0.61972719	5.340492013	backup
92	-0.620990398	5.335433548	backup
93	-0.619501276	5.339047645	backup
94	-0.621355252	5.335677206	backup
95	-0.621151321	5.334333563	backup
96	-0.618716759	5.338238016	backup
97	-0.620228487	5.339662333	backup
98	-0.620100537	5.337263925	backup
99	-0.620578211	5.337137183	backup
100	-0.619052363	5.340209153	backup
101	-0.620766915	5.334845692	backup
102	-0.61982902	5.335327836	backup
103	-0.620650201	5.336957215	backup
104	-0.620406029	5.337591292	backup
105	-0.618439755	5.338400898	backup
106	-0.617475766	5.343277547	backup
107	-0.621415535	5.336330134	backup
108	-0.620934486	5.334621732	backup
109	-0.620935659	5.336312959	backup
110	-0.621368704	5.333183739	backup
111	-0.618661251	5.339150154	backup
112	-0.620470641	5.335874512	backup
113	-0.62028311	5.33759001	backup
114	-0.619620485	5.339884526	backup
115	-0.620420836	5.336748644	backup
116	-0.62008648	5.339789649	backup
117	-0.619007335	5.342423868	backup
118	-0.618809449	5.343116611	backup
119	-0.620340616	5.33729811	backup
120	-0.617958492	5.343874924	backup
121	-0.619451829	5.341682929	backup
122	-0.619569127	5.33783792	backup
