,X,Region,District,Community,Coastal,LandingBeaches,ProjectSite,Fishermen,PurseSeines,BeachSeines,AliNets,pgearsum,pgearcdf,apgearsum,apgearcdf
4,29,Central,Abura-Asebu-Kwamankese,MOREE,Y,8,Y,4297,15,10,197,611,0.197862694,1029,0.207417859
7,6,Central,Effutu Municipal,WINNEBA,Y,5,Y,2941,92,15,79,930,0.301165803,1427,0.28764362
13,2,Central,Gomoa East,NYANYANO,Y,1,N,2165,106,NA,7,1517,0.491256477,2185,0.440435396
14,27,Central,Mfantseman Municipal,ANOMABO,Y,5,N,1986,54,10,48,1571,0.508743523,2287,0.460995767
15,28,Central,Mfantseman Municipal,BIRIWA,Y,3,N,1986,51,NA,NA,1622,0.525259067,2338,0.471275952
17,39,Central,Komenda-Edina Eguafo-Abrem Municipal,BRITISH KOMENDA,Y,2,N,1922,66,NA,NA,1688,0.546632124,2404,0.484579722
18,8,Central,Gomoa West,APAM,Y,4,Y,1846,63,NA,16,1751,0.567033679,2483,0.500503931
19,21,Central,Mfantseman Municipal,ANKAFUL,Y,1,N,1840,70,NA,NA,1821,0.589702073,2553,0.514613989
21,1,Central,Awutu Senya,SENYA BERAKU,Y,3,N,1731,48,9,2,1949,0.63115285,2838,0.572062084
27,31,Central,Cape Coast,CAPE COAST,Y,10,N,1326,9,38,NA,2125,0.688147668,3098,0.624470873
29,24,Central,Mfantseman Municipal,KROMANTSE,Y,1,N,1288,53,2,NA,2178,0.705310881,3151,0.635154203
37,30,Central,Cape Coast,EKON,Y,3,N,1007,12,19,NA,2281,0.738665803,3434,0.692199153
5,149,Greater Accra,Ada West,AKPLABANYA,Y,1,N,4199,161,4,NA,772,0.25,1190,0.239870994
6,148,Greater Accra,Ada West,ANYAMAM,Y,1,N,3678,66,42,NA,838,0.271373057,1256,0.253174763
11,182,Greater Accra,Accra Metropolitan Assembly,CHORKOR,Y,4,N,2483,260,7,35,1400,0.453367876,2044,0.412013707
12,174,Greater Accra,Kpone-Katamanso,KPONE,Y,3,N,2296,11,NA,17,1411,0.456930052,2072,0.41765773
31,178,Greater Accra,Ledzokuku-Krowor Municipal Assembly,TESHIE,Y,1,N,1264,54,3,83,2234,0.723445596,3326,0.670429349
38,151,Greater Accra,Dangme East,AZIZANYA,Y,2,N,1007,36,3,NA,2317,0.750323834,3470,0.699455755
45,163,Greater Accra,Shai Osudoku (Dangme West),LEKPONGUNOR,Y,2,N,885,35,4,NA,2482,0.803756477,3714,0.748639387
26,124,Volta,Ketu South,ADINA,Y,1,N,1328,41,16,NA,2116,0.685233161,3089,0.622656722
41,127,Volta,Ketu South,AGAVEDZI,Y,1,N,967,21,16,NA,2377,0.769753886,3552,0.715984681
3,47,Western,Shama,ABOADZE,Y,2,N,4612,88,NA,203,596,0.193005181,817,0.164684539
8,46,Western,Shama,ABUESI,Y,4,N,2868,121,NA,77,1051,0.340349741,1625,0.327554928
9,76,Western,Nzema East,LOWER AXIM,Y,7,Y(?),2665,85,NA,31,1136,0.367875648,1741,0.350937311
20,49,Western,Sekondi-Takoradi Metropolitan Assembly,SEKONDI,Y,1,N,1737,80,NA,155,1901,0.615608808,2788,0.561983471
22,43,Western,Shama,SHAMA (BENSIR),Y,1,Y,1720,NA,NA,39,1949,0.63115285,2877,0.579923403
30,44,Western,Shama,SHAMA (APO),Y,1,Y,1287,2,NA,36,2180,0.705958549,3189,0.642813949
33,118,Western,Jomoro,NEW TOWN,Y,1,N,1175,NA,5,60,2234,0.723445596,3386,0.682523685
42,70,Western,Ahanta West,AKITAKYI,Y,1,N,947,25,6,15,2402,0.777849741,3592,0.724047571
