,Region,District,Community,Coastal,LandingBeaches,ProjectSite,Fishermen,PurseSeines,BeachSeines,AliNets,samples
20,Volta,Ketu South,ADINA,Y,1,N,1328,41,16,NA,28
21,Volta,Ketu South,AGAVEDZI,Y,1,N,967,21,16,NA,20
17,Greater Accra,Ledzokuku-Krowor Municipal Assembly,TESHIE,Y,1,N,1264,54,3,83,26
13,Greater Accra,Ada West,AKPLABANYA,Y,1,N,4199,161,4,NA,87
6,Central,Komenda-Edina Eguafo-Abrem Municipal,BRITISH KOMENDA,Y,2,N,1922,66,NA,NA,40
9,Central,Awutu Senya,SENYA BERAKU,Y,3,N,1731,48,9,2,36
2,Central,Effutu Municipal,WINNEBA,Y,5,Y,2941,92,15,79,61
22,Western,Shama,ABOADZE,Y,2,N,4612,88,NA,203,96
29,Western,Ahanta West,AKITAKYI,Y,1,N,947,25,6,15,20
26,Western,Shama,SHAMA (BENSIR),Y,1,Y,1720,NA,NA,39,36
